"JOURNAL","YEAR","VOLUME","ISSUE","TITLE","NAME","INST","COUNTRY"
"BITR",1994,26,1,"SE","Anthony Anderson","na","na"
"BITR",1994,26,1,"SE","Woodruff Benson","na","na"
"BITR",1994,26,1,"SE","Sandra Brown","na","na"
"BITR",1994,26,1,"SE","Mercedes S Foster","na","na"
"BITR",1994,26,1,"SE","Madhav Gadgil","na","na"
"BITR",1994,26,1,"SE","Thomas Lovejoy","na","na"
"BITR",1994,26,1,"SE","Ernesto Medina","na","na"
"BITR",1994,26,1,"SE","Ong Jin Eong","na","na"
"BITR",1994,26,1,"SE","Betty J Meggers","na","na"
"BITR",1994,26,1,"SE","Francis E Putz","na","na"
"BITR",1994,26,1,"SE","Jose Sarukhan","na","na"
"BITR",1994,26,1,"SE","John Terborgh","na","na"
"BITR",1994,26,1,"SE","Peter M Vitousek","na","na"
"BITR",1994,26,1,"SE","Mary Jane West-Eberhard","na","na"
"BITR",1994,26,1,"SE","Edward O Wilson","na","na"
"BITR",1995,27,1,"SE","Anthony Anderson","na","na"
"BITR",1995,27,1,"SE","Woodruff Benson","na","na"
"BITR",1995,27,1,"SE","Sandra Brown","na","na"
"BITR",1995,27,1,"SE","Antoine M Cleef","na","na"
"BITR",1995,27,1,"SE","Robert K Colwell","na","na"
"BITR",1995,27,1,"SE","Mercedes S Foster","na","na"
"BITR",1995,27,1,"SE","Madhav Gadgil","na","na"
"BITR",1995,27,1,"SE","Harold Heatwole","na","na"
"BITR",1995,27,1,"SE","William M Lewis Jr","na","na"
"BITR",1995,27,1,"SE","Thomas Lovejoy","na","na"
"BITR",1995,27,1,"SE","Ernesto Medina","na","na"
"BITR",1995,27,1,"SE","Ong Jin Eong","na","na"
"BITR",1995,27,1,"SE","Betty J Meggers","na","na"
"BITR",1995,27,1,"SE","Francis E Putz","na","na"
"BITR",1995,27,1,"SE","Jose Sarukhan","na","na"
"BITR",1995,27,1,"SE","John Terborgh","na","na"
"BITR",1995,27,1,"SE","Peter M Vitousek","na","na"
"BITR",1995,27,1,"SE","Mary Jane West-Eberhard","na","na"
"BITR",1995,27,1,"SE","Edward O Wilson","na","na"
"BITR",1996,28,1,"EIC","E Raymond Heithaus","na","na"
"BITR",1996,28,1,"SE","Elena Alvarez-Buylla","na","na"
"BITR",1996,28,1,"SE","Anthony Anderson","na","na"
"BITR",1996,28,1,"SE","Woodruff Benson","na","na"
"BITR",1996,28,1,"SE","Paul Berry","na","na"
"BITR",1996,28,1,"SE","Sandra Brown","na","na"
"BITR",1996,28,1,"SE","Antoine M Cleef","na","na"
"BITR",1996,28,1,"SE","Robert K Colwell","na","na"
"BITR",1996,28,1,"SE","Madhav Gadgil","na","na"
"BITR",1996,28,1,"SE","Harold Heatwole","na","na"
"BITR",1996,28,1,"SE","Thomas Kunz","na","na"
"BITR",1996,28,1,"SE","Thomas Lovejoy","na","na"
"BITR",1996,28,1,"SE","Ernesto Medina","na","na"
"BITR",1996,28,1,"SE","Betty J Meggers","na","na"
"BITR",1996,28,1,"SE","Ong Jin Eong","na","na"
"BITR",1996,28,1,"SE","Ingrid Olmsted","na","na"
"BITR",1996,28,1,"SE","Catherine Pringle","na","na"
"BITR",1996,28,1,"SE","Francis E Putz","na","na"
"BITR",1996,28,1,"SE","Jose Sarukhan","na","na"
"BITR",1996,28,1,"SE","Fred Scatena","na","na"
"BITR",1996,28,1,"SE","John Terborgh","na","na"
"BITR",1996,28,1,"SE","Peter M Vitousek","na","na"
"BITR",1996,28,1,"SE","Mary Jane West-Eberhard","na","na"
"BITR",1996,28,1,"SE","Edward O Wilson","na","na"
"BITR",1997,29,1,"SE","Elena Alvarez-Buylla","na","na"
"BITR",1997,29,1,"SE","Anthony Anderson","na","na"
"BITR",1997,29,1,"SE","Paul Berry","na","na"
"BITR",1997,29,1,"SE","Jaime Cavelier","na","na"
