Column,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,Inst_Prior_Class,DATA
1860,ECOLOGY,1998,3631,Terry,L,Root,University of Michigan,NA,Ann Arbor,MI,USA,NA,USA
1861,ECOLOGY,1998,3812,William,M,Tonn,University of Alberta,NA,Edmonton,AB,Canada,NA,Canada
1862,ECOLOGY,1999,2263,Marc,D,Abrams,Pennsylvania State University,NA,State College,PA,USA,NA,USA
1863,ECOLOGY,1999,1434,Jon,,Agren,Umea University,NA,Umea,Norrland,Sweden,NA,Sweden
1864,ECOLOGY,1999,3719,William,E,Bradshaw,University of Oregon,NA,Eugene,OR,USA,NA,USA
1865,ECOLOGY,1999,408,Charles,,Brown,University of Tulsa,NA,Tulsa,OK,USA,NA,USA
1866,ECOLOGY,1999,1991,Keith,,Clay,Indiana University,NA,Bloomington,IN,USA,NA,USA
1867,ECOLOGY,1999,946,Edward,F,Connor,San Francisco State University,NA,San Francisco,CA,USA,NA,USA
1868,ECOLOGY,1999,666,Diane,,DeSteven,University of Wisconsin - Milwaukee,NA,Milwaukee,WI,USA,NA,USA
1869,ECOLOGY,1999,2795,Philip,M,Dixon,Iowa State University,NA,Ames,IA,USA,NA,USA
1870,ECOLOGY,1999,962,Edward,W,Evans,Utah State University,NA,Logan,UT,USA,NA,USA
1871,ECOLOGY,1999,708,Deborah,,Gordon,Stanford University,NA,Stanford,CA,USA,NA,USA
1872,ECOLOGY,1999,125,Alan,K,Knapp,Kansas State University,NA,Manhattan,KS,USA,NA,USA
1873,ECOLOGY,1999,543,Craig,,Osenberg,University of Florida,NA,Gainesville,FL,USA,NA,USA
1874,ECOLOGY,1999,2070,Kurt,S,Pregitzer,Michigan Technological University,NA,Houghton,MI,USA,NA,USA
1875,ECOLOGY,1999,3700,Val,H,Smith,University of Kansas,NA,Lawrence,KS,USA,NA,USA
1876,ECOLOGY,1999,202,Allison,A,Snow,Ohio State University,NA,Columbus,OH,USA,NA,USA
1877,ECOLOGY,1999,1961,Jon,,Witman,Brown University,NA,Providence,RI,USA,NA,USA
1878,ECOLOGY,2000,3828,Yves,,Bergeron,Universit� du Quebec,NA,Montreal,QC,Canada,NA,Canada
1879,ECOLOGY,2001,NA,Val,H,Smith,University of Kansas,NA,Lawrence,KS,USA,NA,USA
1880,ECOLOGY,2002,1459,James,R,Bence,NA,NA,,,USA,NA,USA
1881,ECOLOGY,2002,2713,Ottar,N,Bjornstad,NA,NA,,,USA,NA,USA
1882,ECOLOGY,2002,2770,Patrick,J,Bohlen,NA,NA,,,USA,NA,USA
1883,ECOLOGY,2002,3883,Joel,S,Brown,NA,NA,,,USA,NA,USA
1884,ECOLOGY,2002,2133,Linda,,Brubaker,NA,NA,,,USA,NA,USA
1885,ECOLOGY,2002,2323,Michael,L,Cain,NA,NA,,,USA,NA,USA
1886,ECOLOGY,2002,3032,Randy,A,Dahlgren,NA,NA,,,USA,NA,USA
1887,ECOLOGY,2002,1064,Frank,,Davis,NA,NA,,,USA,NA,USA
1888,ECOLOGY,2002,2139,Lynda,,Delph,NA,NA,,,USA,NA,USA
1889,ECOLOGY,2002,3038,Robert,F,Denno,NA,NA,,,USA,NA,USA
1890,ECOLOGY,2002,3316,Stanley,,Dodson,NA,NA,,,USA,NA,USA
1891,ECOLOGY,2002,262,Barbara,J,Downes,NA,NA,,,Australia,NA,Australia
1892,ECOLOGY,2002,1551,J,Emmett,Duffy,NA,NA,,,USA,NA,USA
1893,ECOLOGY,2002,63,Aaron,,Ellison,NA,NA,,,USA,NA,USA
1894,ECOLOGY,2002,3054,Ron,J,Etter,NA,NA,,,USA,NA,USA
1895,ECOLOGY,2002,3325,Stanley,H,Faeth,NA,NA,,,USA,NA,USA
1896,ECOLOGY,2002,3328,Stuart,,Findlay,NA,NA,,,USA,NA,USA
1897,ECOLOGY,2002,1180,Graham,,Forrester,NA,NA,,,USA,NA,USA
1898,ECOLOGY,2002,1585,John,M,Fryxell,NA,NA,,,Canada,NA,Canada
1899,ECOLOGY,2002,458,Candace,,Galen,NA,NA,,,USA,NA,USA
1900,ECOLOGY,2002,2648,Nicholas,J,Gotelli,NA,NA,,,USA,NA,USA
1901,ECOLOGY,2002,3076,Russell,S,Greenberg,NA,NA,,,USA,NA,USA
1902,ECOLOGY,2002,2817,Peter,M,Groffman,NA,NA,,,USA,NA,USA
1903,ECOLOGY,2002,3743,W,SC,Gurney,NA,NA,,,UK,NA,UK
1904,ECOLOGY,2002,1628,John,E,Havel,NA,NA,,,USA,NA,USA
1905,ECOLOGY,2002,1201,Geoffrey,M,Henebry,NA,NA,,,USA,NA,USA
1906,ECOLOGY,2002,979,Edward,J,Heske,NA,NA,,,USA,NA,USA
1907,ECOLOGY,2002,2411,Mark,A,Hixon,NA,NA,,,USA,NA,USA
1908,ECOLOGY,2002,486,Cliff,R,Hupp,NA,NA,,,USA,NA,USA
1909,ECOLOGY,2002,111,Anthony,,Ives,NA,NA,,,USA,NA,USA
1910,ECOLOGY,2002,3105,Robert,B,Jackson,NA,NA,,,USA,NA,USA
1911,ECOLOGY,2002,3365,Stephen,T,Jackson,NA,NA,,,USA,NA,USA
1912,ECOLOGY,2002,2655,Norman,C,Kenkel,NA,NA,,,Canada,NA,Canada
1913,ECOLOGY,2002,3381,Steven,L,Kohler,NA,NA,,,USA,NA,USA
