JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,NOTES,INST.CORRECTED,,,,
JANE,1985,149,A,D,Mcintyre,NA,,University of Aberdeen,,,,
JANE,1990,149,A,D,Mcintyre,NA,,University of Aberdeen,,,,
PLANTECOL,1985,460,Charles,H,Gimingham,NA,,University of Aberdeen,,,,
PLANTECOL,1989,460,Charles,H,Gimingham,NA,,University of Aberdeen,,,,
JBIOG,1985,3650,Thomas,NA,Vanderhammen,NA,,University of Amsterdam,,,,
JBIOG,1990,3650,Thomas,NA,Vanderhammen,NA,,University of Amsterdam,,,,
EVOL,2015,1745,Joanna,NA,Masel,NA,,University of Arizona,,,,
JBIOG,2010,2106,Kostas,NA,Triantis,NA,,University of Azores,,,,
OECOL,1992,499,Christian,NA,Korner,NA,,University of Basel,,,,
OECOL,2014,499,Christian,NA,Korner,NA,,University of Basel,,,,
AMNAT,2005,2607,Michael,NA,Whitlock,NA,,University of British Columbia,,,,
EVOL,2015,7,Amy,NA,Angert,NA,,university of british columbia,,,,
EVOL,2015,3202,Rosemary,NA,Redfield,NA,,University of British columbia,,,,
NEWPHYT,2015,1920,Jana,NA,Vamosi,NA,,University of Calgary,,,,
JBIOG,2006,3754,Walter,NA,Jetz,NA,,University of california san diego,,,,
OECOL,2011,1866,Jonathan,NA,Shurin,NA,,University of California San Diego,,,,
OECOL,2014,1866,Jonathan,NA,Shurin,NA,,University of California San Diego,,,,
BIOCON,2006,3270,S,NA,Andelman,NA,,university of california santa barbara,,,,
JAPE,1999,722,David,A,Hill,NA,,University of Cambridge,,,,
NEWPHYT,2015,201,Alison,Green,Smith,NA,,University of Cambridge,,,,
NEWPHYT,1994,3247,Richard,Green,West,NA,,University of Cambridge,,,,
PLANTECOL,1985,2818,Peter,J,Grubb,NA,,University of Cambridge,,,,
PLANTECOL,1986,2818,Peter,J,Grubb,NA,,University of Cambridge,,,,
JANE,2013,878,Dan,NA,Stouffer,NA,,University of Cantebury,,,,
JANE,2014,878,Dan,NA,Stouffer,NA,,University of Cantebury,,,,
BIOCON,2008,2829,Philip,AR,Hockey,NA,,university of cape town,,,,
BIOCON,2009,2829,Philip,AR,Hockey,NA,,university of cape town,,,,
BIOCON,1997,2830,Par,NA,Hockey,NA,,university of cape town,,,,
BIOCON,2007,2830,Par,NA,Hockey,NA,,university of cape town,,,,
AMNAT,1991,601,Chung-I,NA,Wu,NA,,University of Chicago,,,,
AMNAT,1991,648,Deborah,NA,Charlesworth,NA,,University of Chicago,,,,
AREES,2004,2370,Michael,J,Foote,NA,,University of Chicago,,,,
PLANTECOL,1989,1789,Jari,NA,Oksanen,NA,,University of Eastern Finland,,,,
EVOL,2015,1615,Jarrod,NA,Hadfield,NA,,University of Edinburgh,,,,
JBIOG,2013,166,Albert,NA,Phillimore,NA,,University of Edinburgh,,,,
JBIOG,2014,166,Albert,NA,Phillimore,NA,,University of Edinburgh,,,,
JAPE,1989,521,Christopher,NA,Mason,NA,,University of Essex,,,,
JAPE,1996,521,Christopher,NA,Mason,NA,,University of Essex,,,,
JECOL,1986,3395,Stephen,P,Long,NA,,University of Essex,,,,
JANE,2008,3278,Stuart,NA,Bearhop,NA,,University of Exeter,,,,
JANE,2014,3278,Stuart,NA,Bearhop,NA,,University of Exeter,,,,
JBIOG,2014,1241,Gustav,NA,Paulay,NA,,University of Florida,,,,
NEWPHYT,2015,1605,Jim,H,Graham,NA,,University of Florida,,,,
OECOL,2013,1713,Jeremy,NA,Lichstein,NA,,University of Florida,,,,
OECOL,2014,1713,Jeremy,NA,Lichstein,NA,,University of Florida,,,,
OIKOS,2014,2552,Michael,NA,Scherer_lorenzon,NA,,University of Freiburg,,,,
EVOL,2015,210,Andrea,NA,Sweigart,NA,,University of Georgia,,,,
EVOL,2015,3868,David,NA,Hall,NA,,University of Georgia,,,,
JANE,1997,1907,John,E,Thorpe,NA,,University of Glasgow ,,,,
JBIOG,2014,1323,Kreft,NA,holger,NA,,University of Gottingen,,,,
EVOL,2015,147,Andrew,Green,Mcadam,NA,,University of Guelph,,,,
JANE,2005,2047,Kevin,NA,Mccann,NA,,University of Guelph,,,,
PLANTECOL,2012,1236,G,NA,Ne'eman,NA,,University of Haifa-oranim,,,,
EVOL,2015,131,Anna-Liisa,NA,Laine,NA,,University of Helsinki,,,,
