JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,INST,COUNTRY,GENDER,CATEGORY,NOTES
FUNECOL,2007,21,2,associate editor,David,N,Reznick,David N Reznick,Riverside,USA,M,SE,
FUNECOL,2008,22,1,associate editor,David,N,Reznick,David N Reznick,Riverside,USA,M,SE,
FUNECOL,2009,23,1,associate editor,David,N,Reznick,David N Reznick,Riverside,USA,M,SE,
FUNECOL,2010,24,1,associate editor,David,N,Reznick,David N Reznick,Riverside,USA,M,SE,
FUNECOL,2011,25,1,associate editor,David,N,Reznick,David N Reznick,Riverside,USA,M,SE,
FUNECOL,2012,26,1,associate editor,David,N,Reznick,David N Reznick,Riverside,USA,M,SE,
FUNECOL,2013,27,1,associate editor,David,N,Reznick,David N Reznick,Riverside,USA,M,SE,
FUNECOL,2014,28,1,associate editor,David,N,Reznick,David N Reznick,Riverside,USA,M,SE,
FUNECOL,2015,29,1,associate editor,David,N,Reznick,David N Reznick,Riverside,USA,M,SE,
FUNECOL,2006,20,1,associate editor,David,,Raubenheimer,David Raubenheimer,Auckland,New Zeland,M,SE,
FUNECOL,2007,21,2,associate editor,David,,Raubenheimer,David Raubenheimer,Auckland,New Zeland,M,SE,
FUNECOL,2008,22,1,associate editor,David,,Raubenheimer,David Raubenheimer,Auckland,New Zeland,M,SE,
FUNECOL,2009,23,1,guest editor,David,,Raubenheimer,David Raubenheimer,Massey,New Zeland,M,,???
FUNECOL,2009,23,1,associate editor,David,,Raubenheimer,David Raubenheimer,Auckland,New Zeland,M,SE,
FUNECOL,2010,24,1,associate editor,David,,Raubenheimer,David Raubenheimer,Auckland,New Zeland,M,SE,
FUNECOL,2011,25,1,associate editor,David,,Raubenheimer,David Raubenheimer,Auckland,New Zeland,M,SE,
FUNECOL,2012,26,1,associate editor,David,,Raubenheimer,David Raubenheimer,Auckland,New Zeland,M,SE,
FUNECOL,2013,27,1,associate editor,David,,Raubenheimer,David Raubenheimer,Auckland,New Zeland,M,SE,
FUNECOL,2014,28,1,associate editor,David,,Raubenheimer,David Raubenheimer,Auckland,New Zeland,M,SE,
FUNECOL,2015,29,1,associate editor,David,,Raubenheimer,David Raubenheimer,Auckland,New Zeland,M,SE,
FUNECOL,2000,14,1,editor,David,,Robinson,David Robinson,Aberdeen,Scotland,M,EIC,
FUNECOL,2001,15,1,editor,David,,Robinson,David Robinson,Aberdeen,Scotland,M,EIC,
FUNECOL,2002,16,1,editor,David,,Robinson,David Robinson,Aberdeen,Scotland,M,EIC,
FUNECOL,2003,17,1,editor,David,,Robinson,David Robinson,Aberdeen,Scotland,M,EIC,
FUNECOL,2004,18,1,editor,David,,Robinson,David Robinson,Aberdeen,Scotland,M,EIC,
FUNECOL,2005,19,1,editor,David,,Robinson,David Robinson,Aberdeen,Scotland,M,EIC,
FUNECOL,2006,20,1,associate editor,David,,Whitehead,David Whitehead,Landcare Research,New Zeland,M,SE,
