no,JOURNAL,YEAR,Volume,Issue,Title,FIRST_NAME,MIDDLE NAME,LAST_NAME,NAME,INST,UNIT,CITY,STATE,COUNTRY
348,MARECOL,1996,17,1,Editorial Board,,,,U. Bathmann,Alfred-Wegener-Institut fur Polar- und Meeresforschung,,Bremerhaven,,Germanny
347,MARECOL,1996,17,1,Editorial Board,,,,R. S. Alberte,Arete Assicuates,,Arlington,VA,USA
346,MARECOL,1996,17,1,Assistant Editors,,,,P. C. Dworschak,Naturhistorisches Museum Wien,,,Vienna,Austria
345,MARECOL,1996,17,1,Assistant Editors,,,,D. Marino,,,,,
344,MARECOL,1996,17,1,Editors in Chief,,,,L. Mazzella,,,,,
343,MARECOL,1996,17,1,Editors in Chief,,,,J. Ott,,,,,
342,MARECOL,1997,18,1,Editorial Board,,,,A. Zhirmunsky,,,,,
341,MARECOL,1997,18,1,Editorial Board,,,,T. Villareal,"University of Texas, Austin",Marine Science Institute,Port Aransas,Texas,USA
340,MARECOL,1997,18,1,Editorial Board,,,,P. Tyler,,,,,
339,MARECOL,1997,18,1,Editorial Board,,,,J. T. Turner,,,,,
338,MARECOL,1997,18,1,Editorial Board,,,,M. Sara,,,,,
337,MARECOL,1997,18,1,Editorial Board,,,,K. Rutzler,,,,,
336,MARECOL,1997,18,1,Editorial Board,,,,M. Ribeira,,,,,
335,MARECOL,1997,18,1,Editorial Board,,,,H. Mukai,,,,,
334,MARECOL,1997,18,1,Editorial Board,,,,A. Logan,,,,,
333,MARECOL,1997,18,1,Editorial Board,,,,A. Ianora,,,,,
332,MARECOL,1997,18,1,Editorial Board,,,,H. Fricke,,,,,
331,MARECOL,1997,18,1,Editorial Board,,,,H. Felbeck,,,,,
330,MARECOL,1997,18,1,Editorial Board,,,,G. C. Carrada,,,,,
329,MARECOL,1997,18,1,Editorial Board,,,,U. Bathmann,,,,,
328,MARECOL,1997,18,1,Editorial Board,,,,R. S. Alberte,,,,,
327,MARECOL,1997,18,1,Assistant Editors,,,,P. C. Dworschak,,,,,
326,MARECOL,1997,18,1,Assistant Editors,,,,D. Marino,,,,,
325,MARECOL,1997,18,1,Editors in Chief,,,,L. Mazzella,,,,,
324,MARECOL,1997,18,1,Editors in Chief,,,,J. Ott,,,,,
323,MARECOL,1998,19,1,Editorial Board,,,,A. Zhirmunsky,,,,,
322,MARECOL,1998,19,1,Editorial Board,,,,T. Villareal,,,,,
321,MARECOL,1998,19,1,Editorial Board,,,,P. Tyler,,,,,
320,MARECOL,1998,19,1,Editorial Board,,,,J. T. Turner,,,,,
319,MARECOL,1998,19,1,Editorial Board,,,,M. Sara,,,,,
318,MARECOL,1998,19,1,Editorial Board,,,,K. Rutzler,,,,,
317,MARECOL,1998,19,1,Editorial Board,,,,M. Ribeira,,,,,
316,MARECOL,1998,19,1,Editorial Board,,,,H. Mukai,,,,,
315,MARECOL,1998,19,1,Editorial Board,,,,A. Logan,,,,,
314,MARECOL,1998,19,1,Editorial Board,,,,A. Ianora,,,,,
313,MARECOL,1998,19,1,Editorial Board,,,,H. Fricke,,,,,
312,MARECOL,1998,19,1,Editorial Board,,,,H. Felbeck,,,,,
311,MARECOL,1998,19,1,Editorial Board,,,,G. C. Carrada,,,,,
310,MARECOL,1998,19,1,Editorial Board,,,,U. Bathmann,,,,,
309,MARECOL,1998,19,1,Editorial Board,,,,R. S. Alberte,,,,,
308,MARECOL,1998,19,1,Assistant Editors,,,,P. C. Dworschak,,,,,
307,MARECOL,1998,19,1,Assistant Editors,,,,D. Marino,,,,,
306,MARECOL,1998,19,1,Editors in Chief,,,,L. Mazzella,,,,,
305,MARECOL,1998,19,1,Editors in Chief,,,,J. Ott,,,,,
304,MARECOL,1999,20,1,Editorial Board,,,,A. Zhirmunsky,,,,,
303,MARECOL,1999,20,1,Editorial Board,,,,T. Villareal,,,,,
302,MARECOL,1999,20,1,Editorial Board,,,,P. Tyler,,,,,
301,MARECOL,1999,20,1,Editorial Board,,,,J. T. Turner,,,,,
300,MARECOL,1999,20,1,Editorial Board,,,,M. Sara,,,,,
299,MARECOL,1999,20,1,Editorial Board,,,,K. Rutzler,,,,,
