JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,COUNTRY,GENDER,CATEGORY,NOTES
JZ,2006,,1,Production Editor,Linda Da Volls,Linda,Da,Volls,,,,,
JZ,2007,,1,Editorial Board,Gerhard von der Emde,Gerhard,,VonDerEmde,Univeristy of Bonn,Germany,,,
JZ,1989,216,,Publications Committee,P.J. Whitfield,P,J,Whitfield,,,,,
JZ,1990,220,,Publications Committee,P.J. Whitfield,P,J,Whitfield,,,,,
JZ,1986,,,,,,,,,,,,
JZ,1987,211,N/A,Assistant Editor,Angela Stroud,Angela,,Stroud,,,F,,
JZ,1988,214,N/A,Assistant Editor,Angela Stroud,Angela,,Stroud,,,F,,
JZ,1989,216,N/A,Assistant Editor,Angela Stroud,Angela,,Stroud,,,F,,
JZ,1989,216,,Publications Committee,C. Arme,C,,Arme,,,,,
JZ,1990,220,,Assistant Editor,Angela Stroud,Angela,,Stroud,,,F,,
JZ,1990,220,,Publications Committee,C. Arme,C,,Arme,,,,,
JZ,1991,223,,Assistant Editor,Angela Stroud,Angela,,Stroud,,,F,,
JZ,1991,223,,Publications Committee,J. Gurnell,J,,Gurnell,,,,,
JZ,1992,226,,Assistant Editor,Angela Stroud,Angela,,Stroud,,,F,,
JZ,1992,226,,Publications Committee,J. Gurnell,J,,Gurnell,,,,,
JZ,1992,226,,Publications Committee,Marion Nixon,Marion,,Nixon,,,,,
JZ,1993,229,,Assistant Editor,Angela Stroud,Angela,,Stroud,,,F,,
JZ,1993,229,,Publications Committee,J. Gurnell,J,,Gurnell,,,,,
JZ,1993,229,,Publications Committee,Marion Nixon,Marion,,Nixon,,,,,
JZ,1994,232,,Assistant Editor,Angela Stroud,Angela,,Stroud,,,F,,
JZ,1994,232,,Publications Committee,J. Gurnell,J,,Gurnell,,,,,
JZ,1994,232,,Publications Committee,Marion Nixon,Marion,,Nixon,,,,,
JZ,1995,235,,,,,,,,,,,*Started seeing an Editorial Assistant
JZ,1995,235,,Editor,Juliet Clutton-Brock,Juliet,,Clutton-Brock,(Retired)-Natural History Museum London,England,F,,
JZ,1995,235,,Assistant Editor,Angela Stroud,Angela,,Stroud,,,F,,
JZ,1995,235,,Publications Committee,J. Gurnell,J,,Gurnell,,,,,
JZ,1995,235,,Publications Committee,Marion Nixon,Marion,,Nixon,,,,,
JZ,1996,238,,Editor,Juliet Clutton-Brock,Juliet,,Clutton-Brock,,England,F,,
JZ,1996,238,,Assistant Editor,Angela Stroud,Angela,,Stroud,,,F,,
JZ,1996,238,,Editorial Board,Katharina Mangold,Katharina,,Mangold,Laboratoire Arago,France,,,
JZ,1996,238,,Editorial Board,B. Morton,B,,Morton,University of Hong Kong,Hong Kong,,,
JZ,1997,241,,Editor,Juliet Clutton-Brock,Juliet,,Clutton-Brock,,England,F,,
JZ,1997,241,,Assistant Editor,Angela Stroud,Angela,,Stroud,,,F,,
JZ,1997,241,,Editorial Board,Katharina Mangold,Katharina,,Mangold,Laboratoire Arago,France,,,
JZ,1997,241,,Editorial Board,B. Morton,B,,Morton,University of Hong Kong,Hong Kong,,,
JZ,1998,244,1,Editor,Juliet Clutton-Brock,Juliet,,Clutton-Brock,,England,F,,
JZ,1998,244,1,Editorial Board,Katharina Mangold,Katharina,,Mangold,Laboratoire Arago,France,,,
JZ,1998,244,1,Editorial Board,B. Morton,B,,Morton,University of Hong Kong,Hong Kong,,,
JZ,1999,247,1,Editor,Juliet Clutton-Brock,Juliet,,Clutton-Brock,,,F,,
JZ,1999,247,1,Short Communications Editor,Martyn Gorman,Martyn,,Gorman,University of Aberdeen,Scotland,M,,
JZ,1999,247,1,Editorial Board,Katharina Mangold,Katharina,,Mangold,Laboratoire Arago,France,,,
JZ,1999,247,1,Editorial Board,B. Morton,B,,Morton,University of Hong Kong,Hong Kong,,,
JZ,2000,250,1,Managing Editor,Juliet Clutton-Brock,Juliet,,Clutton-Brock,,England,F,,
