FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,EDITOR_TITLE,INST,UNIT,CITY,COUNTRY,NOTES,STATE,YEAR
Michael,T,Murphy,,Associate Editor,Portland State  University,None given,None given,None given,,None given,2003
Douglas,A,Nelson,,Associate Editor,Ohio State  University,None given,None given,None given,,None given,2003
David,N,Nettleship,,Associate Editor,Lundy Environmental Consulting,None given,None given,None given,,None given,2003
Abby,N,Powell,,Associate Editor,University of Alaska,None given,None given,None given,,None given,2003
Richard,O,Prum,,Associate Editor,University of Kansas,None given,None given,None given,,None given,2003
Spencer,G,Sealy,,Associate Editor,University of Manitoba,None given,None given,None given,,None given,2003
Loren,M,Smith,,Associate Editor,Texas Tech  University,None given,None given,None given,,None given,2003
Philip,C,Stouffer,,Associate Editor,Southeastern Louisiana,None given,None given,None given,,None given,2003
Frank,R,Thompson,,Associate Editor,North Central Research Station,None given,None given,None given,,None given,2003
R,Todd,Engstrom,,Book Review Editor,Tall Timber Research Station,None given,Tallahassee,USA,,Florida,2003
Kimberly,G,Smith,,Editor,University of Arkansas,Department of Biological Sciences,Fayetteville,USA,,Arkansas,2004
Bradley,R,Plummer,,Project Manager,None given,None given,None given,None given,,None given,2004
Mark,C,Penrose,,Managing Editor,None given,None given,None given,None given,,None given,2004
Richard,,Earles,,Proof Editor,None given,None given,None given,None given,,None given,2004
Rebecca,M,Braucht,,Review Manager,None given,None given,None given,None given,,None given,2004
Aaron,D,Lenoir,,Editorial Assistant,None given,None given,None given,None given,,None given,2004
Kenneth,F,Abraham,,Associate Editor,Ontario Ministry of Natural Resources,None given,None given,None given,,None given,2004
Kathleen,G,Beal,,Associate Editor,University of Dayton,None given,None given,None given,,None given,2004
Erick,K,Bollinger,,Associate Editor,Eastern Illinois  University,None given,None given,None given,,None given,2004
Margaret ,,Brittingham,,Associate Editor,Penn State  University,None given,None given,None given,,None given,2004
Alan,E,Burger,,Associate Editor,University of Victoria,None given,None given,None given,,None given,2004
Patricia,,Escalante,,Associate Editor,UniversidadNacional Autonoma de Mexico,None given,None given,None given,,None given,2004
Robert,C,Fleischer,,Associate Editor,Smithsonian Institution,None given,None given,None given,,None given,2004
Colleen,M,Handel,,Associate Editor,Alaska Science Center,None given,None given,None given,,None given,2004
David,A,Haukos,,Associate Editor,Texas Tech  University,None given,None given,None given,,None given,2004
Rebecca,L,Holberton,,Associate Editor,University of Maine,None given,None given,None given,,None given,2004
Douglas,H,Johnson,,Associate Editor,Prairie Wildlife Research Center,None given,None given,None given,,None given,2004
Kevin,P,Johnson,,Associate Editor,Illinois Natural History Survey,None given,None given,None given,,None given,2004
David,B,McDonald,,Associate Editor,University of Wyoming,None given,None given,None given,,None given,2004
Michael,T,Murphy,,Associate Editor,Portland State  University,None given,None given,None given,,None given,2004
Douglas,A,Nelson,,Associate Editor,Ohio State  University,None given,None given,None given,,None given,2004
Spencer,G,Sealy,,Associate Editor,University of Manitoba,None given,None given,None given,,None given,2004
Navjot,S,Sodhi,,Associate Editor,National  Universityniversity of Singapore,None given,None given,None given,,None given,2004
Karen,,Steenhof,,Associate Editor,Snake River Field Station,None given,None given,None given,,None given,2004
Philip,C,Stoupher,,Associate Editor,Louisiana State  University,None given,None given,None given,,None given,2004
Jorge,H,Vega Rivera,,Associate Editor,Estacion Biologia Chamela,None given,None given,None given,,None given,2004
Robert,M,Zink,,Associate Editor,University of Minnesota,None given,None given,None given,,None given,2004
R,Todd,Engstrom,,Book Review Editor,The Nature Conservancy,None given,Thomasville,USA,,Georgia,2004
Spencer,G,Sealy,,Editor,University of Manitoba,Department of Zoology,Winnipeg,Canada,,None given,2005
Rebecca ,M,Braucht Edmondson,,Review Editor,None given,None given,None given,None given,,None given,2005
Kathleen,G,Beal,,Associate Editor,University of Dayton,None given,None given,None given,,None given,2005
Marc,,Bechard,,Associate Editor,Boise State  University,None given,None given,None given,,None given,2005
Erick,K,Bollinger,,Associate Editor,Eastern Illinois  University,None given,None given,None given,,None given,2005
James,V,Briskie,,Associate Editor,University of Canterbury,None given,None given,None given,,None given,2005
Margaret ,,Brittingham,,Associate Editor,Penn State  University,None given,None given,None given,,None given,2005
Alan,E,Burger,,Associate Editor,University of Victoria,None given,None given,None given,,None given,2005
Alfred,M,Dufty,,Associate Editor,University of Victoria,None given,None given,None given,,None given,2005
Patricia,,Escalante,,Associate Editor,UniversidadNacional Autonoma de Mexico,None given,None given,None given,,None given,2005
Robert,C,Fleischer,,Associate Editor,Smithsonian Institution,None given,None given,None given,,None given,2005
Collen,M,Handel,,Associate Editor,Alaska Science Center,None given,None given,None given,,None given,2005
David,A,Haukos,,Associate Editor,Texas Tech  University,None given,None given,None given,,None given,2005
Keith,A,Hobson,,Associate Editor,Canadian Wildlife Service,None given,None given,None given,,None given,2005
Rebecca,L,Holberton,,Associate Editor,University of Maine,None given,None given,None given,,None given,2005
Fabian,M,Jaksic,,Associate Editor,Catholic  Universityniversity of Chile,None given,None given,None given,,None given,2005
Douglas,H,Johnson,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2005
Kevin,P,Johnson,,Associate Editor,Illinois Natural History Survey,None given,None given,None given,,None given,2005
David,B,Lank,,Associate Editor,Simon Fraser  University,None given,None given,None given,,None given,2005
David,B,McDonald,,Associate Editor,University of Wyoming,None given,None given,None given,,None given,2005
Michael ,T,Murphy,,Associate Editor,Portland State  University,None given,None given,None given,,None given,2005
Brett,K,Sandercock,,Associate Editor,Kansas State  University,None given,None given,None given,,None given,2005
Navjot,S,Sodhi,,Associate Editor,National  Universityniversity of Singapore,None given,None given,None given,,None given,2005
Karen,,Steenhof,,Associate Editor,Snake River Field Station,None given,None given,None given,,None given,2005
Philip,C,Stouffer,,Associate Editor,Louisiana State  University,None given,None given,None given,,None given,2005
Jorge,H,Vega Rivera,,Associate Editor,Estacion Biologia Chamela,None given,None given,None given,,None given,2005
Kevin,,Winker,,Associate Editor,University of Alaska Museum,None given,None given,None given,,None given,2005
Ken,,Yasukawa,,Associate Editor,Beloit College,None given,None given,None given,,None given,2005
Robert,M,Zink,,Associate Editor,University of Minnesota,None given,None given,None given,,None given,2005
Spencer,G,Sealy,,Editor,University of Manitoba,Department of Zoology,Winnipeg,Canada,,None given,2006
Noreen,L,Sealy,,Review Editor,None given,None given,None given,None given,,None given,2006
Kathleen,G,Beal,,Associate Editor,University of Dayton,None given,None given,None given,,None given,2006
