,journal,year,volume,issue,editor_id.x,editor_id.y,first_name,middle_name,last_name,title,category,inst,unit,city,state,country,country_prior_class,geo.code,geo.code_prior_class,gender,notes
62,OECOL,2012,170,2,1402,NA,Indrikis,NA,Krams,Handling.Editor,SE,University of Daugavpils,missing,Latvia,missing,Latvia,NA,LVA,NA,NA,DOUBLE CHECK INST
81,OECOL,2012,170,2,504,NA,Craig,A,Layman,Handling.Editor,SE,NA,missing,NA,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
82,OECOL,2012,170,2,1705,NA,Jean-Francois,NA,Le Galliard,Handling.Editor,SE,NA,missing,NA,missing,France,NA,FRA,NA,NA,DOUBLE CHECK INST
85,OECOL,2012,170,2,1713,NA,Jeremy,NA,Lichstein,Handling.Editor,SE,NA,missing,NA,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
86,OECOL,2012,170,2,1714,NA,John,T,Lill,Handling.Editor,SE,NA,missing,NA,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
98,OECOL,2012,170,2,3669,NA,Ulo,NA,Niinemets,Handling.Editor,SE,NA,missing,NA,missing,Estonia,NA,EST,NA,NA,DOUBLE CHECK INST
103,OECOL,2012,170,2,2887,NA,Peggy,NA,Ostrom,Handling.Editor,SE,Michigan State University ,missing,E Lansing,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
130,OECOL,2012,170,2,1026,NA,Evan,NA,Siemann,Handling.Editor,SE,NA,missing,NA,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
137,OECOL,2012,170,2,1889,NA,John,NA,Stark,Handling.Editor,SE,NA,missing,NA,missing,USA,NA,USA,NA,NA,DOUBLE CHECK INST
15,OECOL,2013,171,1,2988,NA,Riccardo,NA,Bommarco,Handling.Editor,SE,Swedish University of Agricultural Sciences,missing,Uppsala,missing,Sweden,NA,SWE,NA,NA,DOUBLE CHECK INST
75,OECOL,2013,171,1,1405,NA,Indrikis,NA,Krams,Handling.Editor,SE,University of Daugavpils,missing,Latvia,missing,Latvia,NA,LVA,NA,NA,DOUBLE CHECK INST
76,OECOL,2013,171,1,3587,NA,Toni,NA,Laaksonen,Handling.Editor,SE,University of Turku,missing,Turtu,missing,Finland,NA,FIN,NA,NA,DOUBLE CHECK INST
113,OECOL,2013,171,1,172,NA,Andreas,NA,Prinzing,Handling.Editor,SE,NA,missing,NA,missing,France,NA,FRA,NA,NA,DOUBLE CHECK INST
142,OECOL,2013,171,1,3484,NA,Steve,NA,Swearer,Handling.Editor,SE,University of Melbourne,missing,Melbourne,missing,Australia,NA,AUS,NA,NA,DOUBLE CHECK INST
